Date,Open,High,Low,Close,Volume,Adj Close
2003-08-13,1,10348.84,10158.92,5.7515417,4995970000,10255.28

2003-08-10,1,10256.57,10007.09,6.0610141,5026360000,10249.54

2003-08-07,1,10249.27,9976.56,6.461385,5271480000,10024.02

2003-08-04,1,10293.45,10078.66,6.3346503,4871210000,10136.63

2003-08-01,1,10279.01,9971.73,6.4845679,5698460000,10258.99

2003-07-29,1,10211.60,9937.79,6.1926125,4521050000,9974.45

2003-07-26,1,10061.43,9756.11,7.2813967,7329580000,10043.75

2003-07-23,1,10235.63,10028.78,7.6817655,5224040000,10066.57

2003-07-20,1,10225.88,9860.93,7.2864122,5452130000,10193.39

2003-07-17,1,10440.21,10042.46,6.9488476,8328569600,10068.01

2003-07-14,1,10558.56,10306.22,6.6430033,6765800000,10444.37

2003-07-11,1,10760.05,10463.15,7.1318618,6170840000,10510.95

2003-07-07,1,10707.30,10424.72,5.7019949,5922920000,10625.83

2003-07-05,1,10780.68,10509.89,5.9364932,6126400000,10620.16

2003-07-02,1,10952.84,10752.72,6.3884484,4870640000,10782.95

2003-06-28,1,10941.88,10725.81,6.1956884,5225460000,10896.91

2003-06-25,1,10888.30,10653.71,6.4939666,5842550000,10748.26

2003-06-22,1,10880.14,10386.18,5.8242467,6893700000,10785.14

2003-06-19,1,10622.27,10221.50,7.0584439,9472910400,10380.43

2003-06-16,1,10925.86,9787.17,7.31172,10617809600,10520.32

2003-06-13,1,10984.05,10754.30,6.9118656,6795940000,10868.12

2003-06-10,1,11149.48,10843.71,6.4002127,6594720000,10926.77

2003-06-07,1,11203.37,11004.15,6.4055216,4938050000,11151.83

2003-06-04,1,11235.94,10984.35,6.5123667,6048260000,11008.61

2003-06-01,1,11232.54,11045.64,5.4616961,6059410000,11167.32

2003-05-29,1,11115.63,10938.48,5.4067924,6342310000,11045.27

2003-05-26,1,11260.88,10962.81,6.0269671,7454540000,10991.99

2003-05-23,1,11308.95,11150.01,5.6541381,5647760000,11205.03

2003-05-20,1,11247.20,11058.87,5.9553293,5326060000,11204.28

2003-05-17,1,11175.33,10975.66,5.3668055,6035780000,11134.29

2003-05-14,1,11217.35,11018.59,6.5720645,5724310000,11124.92

2003-05-11,1,11190.22,11045.80,6.7515979,5316590000,11117.06

2003-05-08,1,11116.76,10940.60,6.2557416,6597740000,11092.05

2003-05-05,1,11186.82,10947.55,5.7954225,8108470400,11018.66

2003-05-01,1,11189.61,11051.31,5.5342565,5995330000,11144.57

2003-04-28,1,11147.14,11004.61,5.9531353,5760040000,11123.11

2003-04-25,1,11072.70,10925.86,4.9450152,5403580000,11019.42

2003-04-22,1,11066.96,10957.22,5.2758886,4607090000,11005.97

2003-04-19,1,11032.12,10894.19,5.9723147,4511570000,10997.35

2003-04-16,1,10969.92,10810.15,5.3866781,4726970000,10927.07

