Date,Open,High,Low,Close,Volume,Adj Close
2004-01-09,1,9834.71,9596.04,2.29,6435770000,9732.53

2004-01-06,1,9951.47,9741.07,2.19,5067080000,9774.02

2004-01-03,1,10135.72,9786.45,2.15,6136700000,9870.30

2003-12-31,1,10246.82,10070.12,2.19,3896410000,10138.52

2003-12-28,1,10261.10,10039.97,2.11,5128840000,10143.81

2003-12-25,1,10314.31,10112.60,2.12,4814830000,10152.80

2003-12-22,1,10393.89,10195.81,1.98,4526150000,10298.44

2003-12-19,1,10524.78,10276.14,2.0,4514380000,10293.52

2003-12-16,1,10627.19,10387.54,2.02,4514360000,10442.41

2003-12-13,1,10513.75,10379.60,1.9,4555360000,10450.64

2003-12-10,1,10479.74,10293.49,1.88,4557760000,10434.17

2003-12-07,1,10456.39,10289.37,1.73,5002600000,10409.46

2003-12-04,1,10416.11,10192.40,1.74,4644490000,10404.77

2003-12-01,1,10354.97,10175.02,1.64,4425830000,10190.89

2003-11-28,1,10235.10,10038.31,1.84,4059280000,10211.07

2003-11-25,1,10206.61,9901.67,1.74,5144780000,10172.53

2003-11-22,1,10093.33,9859.04,2.04,5983200000,9899.25

2003-11-19,1,9971.57,9726.33,2.55,6192750000,9939.98

2003-11-15,1,10025.84,9798.73,3.33,5467560000,9816.49

2003-11-12,1,10249.61,9881.11,3.41,6180580000,9931.97

2003-11-09,1,10348.84,10158.92,3.53,4995970000,10255.28

2003-11-06,1,10256.57,10007.09,3.82,5026360000,10249.54

2003-11-03,1,10249.27,9976.56,3.46,5271480000,10024.02

2003-10-31,1,10293.45,10078.66,3.23,4871210000,10136.63

2003-10-28,1,10279.01,9971.73,3.01,5698460000,10258.99

2003-10-25,1,10211.60,9937.79,2.89,4521050000,9974.45

2003-10-22,1,10061.43,9756.11,2.58,7329580000,10043.75

2003-10-19,1,10235.63,10028.78,2.61,5224040000,10066.57

2003-10-16,1,10225.88,9860.93,2.55,5452130000,10193.39

2003-10-13,1,10440.21,10042.46,2.47,8328569600,10068.01

2003-10-10,1,10558.56,10306.22,2.23,6765800000,10444.37

2003-10-07,1,10760.05,10463.15,2.12,6170840000,10510.95

2003-10-04,1,10707.30,10424.72,2.15,5922920000,10625.83

2003-10-01,1,10780.68,10509.89,2.1,6126400000,10620.16

2003-09-28,1,10952.84,10752.72,2.05,4870640000,10782.95

2003-09-25,1,10941.88,10725.81,2.07,5225460000,10896.91

2003-09-22,1,10888.30,10653.71,1.94,5842550000,10748.26

2003-09-19,1,10880.14,10386.18,1.83,6893700000,10785.14

2003-09-16,1,10622.27,10221.50,1.75,9472910400,10380.43

2003-09-13,1,10925.86,9787.17,1.84,10617809600,10520.32

2003-09-10,1,10984.05,10754.30,1.88,6795940000,10868.12

2003-09-07,1,11149.48,10843.71,1.83,6594720000,10926.77

2003-09-03,1,11203.37,11004.15,1.91,4938050000,11151.83

2003-08-31,1,11235.94,10984.35,2.04,6048260000,11008.61

2003-08-28,1,11232.54,11045.64,2.14,6059410000,11167.32

2003-08-25,1,11115.63,10938.48,2.1,6342310000,11045.27

2003-08-22,1,11260.88,10962.81,2.09,7454540000,10991.99

2003-08-19,1,11308.95,11150.01,2.06,5647760000,11205.03

2003-08-16,1,11247.20,11058.87,1.91,5326060000,11204.28

