Date,Open,High,Low,Close,Volume,Adj Close
1974-04-26,0.00,"10,907.41","10,759.14","57,701,908.00",4298910000,"10,829.68"
1974-04-23,0.00,"10,960.99","10,732.27","61,370,145.00",4284160000,"10,788.05"
1974-04-20,0.00,"10,901.96","10,759.75","65,096,910.00",3990280000,"10,835.28"
1974-04-17,0.00,"10,905.44","10,714.03","64,604,254.00",4025840000,"10,858.14"
1974-04-14,0.00,"10,902.52","10,776.44","67,010,417.00",3587860000,"10,812.04"
1974-04-11,0.00,"10,897.83","10,664.39","63,945,742.00",4123950000,"10,860.26"
1974-04-08,0.00,"10,779.65","10,610.12","75,282,750.00",3847850000,"10,662.42"
1974-04-04,0.00,"10,829.75","10,682.4","76,678,962.00",3911070000,"10,739.31"
1974-04-01,0.00,"10,844.89","10,674.83","73,508,479.00",4175660000,"10,761.03"
1974-03-29,0.00,"10,783.51","10,594.38","70,062,071.00",3364080000,"10,753.62"
1974-03-26,0.00,"10,689.29","10,529.67","67,709,574.00",4086140000,"10,607.85"
1974-03-23,0.00,"10,624.58","10,499.43","70,600,385.00",3364080000,"10,594.83"
1974-03-20,0.00,"10,609.21","10,453.15","58,161,675.00",3369840000,"10,572.73"
1974-03-17,0.00,"10,622.69","10,460.34","60,280,261.00",4521050000,"10,526.49"
1974-03-14,0.0,"10,605.73","10,458.45","65,077,463.00",4521050000,"10,544.13"
1974-03-11,0.00,"10,502.8","10,376.34","63,800,773.00",3061160000,"10,462.77"
1974-03-08,0.00,"10,515.86","10,359.23","67,305,750.00",3387770000,"10,415.24"
1974-03-05,0.00,"10,460.5","10,318.93","64,199,394.00",3224640000,"10,387.01"
1974-03-02,0.0,"10,448.99","10,304.44","73,152,649.00",3107380000,"10,340.69"
1974-02-27,0.00,"10,484.71","10,321.92","76,928,673.00",3534500000,"10,447.93"
1974-02-24,0.00,"10,350.98","10,211.8","72,591,524.0",3704210000,"10,320.1"
1974-02-21,0.00,"10,305.87","10,016.01","69,917,366.00",4396880000,"10,269.47"
1974-02-18,0.00,"10,101.53","9,915.73","66,395,631.00",4038770000,"10,014.72"
1974-02-15,0.00,"10,170.1","10,005.56","69,123,133.00",2917990000,"10,009.73"
1974-02-12,0.0,"10,176.3","9,925.11","54,602,428.00",4102460000,"10,150.65"
1974-02-09,0.00,"10,138.12","9,959.17","58,973,763.00",3646710000,"9,985.81"
1974-02-06,0.00,"10,104.18","9,925.34","63,992,078.00",4360190000,"10,060.06"
1974-02-03,0.00,"10,170.86","9,975.86","63,071,833.00",4436330000,"10,040.45"
1974-01-31,0.00,"10,328.88","10,146.18","67,700,757.00",3210950000,"10,174.41"
1974-01-27,0.00,"10,276.13","10,131.88","62,903,857.00",3761570000,"10,213.62"
1974-01-24,0.00,"10,412.29","10,202.34","72,688,674.00",4290540000,"10,271.21"
1974-01-21,0.00,"10,486.38","10,308.83","75,169,345.00",3724260000,"10,415.54"
1974-01-18,0.00,"10,501.67","10,297.55","71,096,629.00",3968210000,"10,405.85"
1974-01-15,0.00,"10,354.39","10,193.26","67,223,086.00",3142450000,"10,302.01"
1974-01-12,0.00,"10,381.86","10,254.18","64,896,774.00",3328890000,"10,303.15"
1974-01-09,0.00,"10,388.37","10,222.85","67,703,397.00",4521050000,"10,319.95"
1974-01-06,0.00,"10,631.82","10,339.63","53,134,779.00",4511860000,"10,378.83"
1974-01-03,0.00,"10,717.21","10,522.63","57,895,059.00",3979360000,"10,644.25"
1973-12-31,0.00,"10,755.66","10,618.26","62,452,681.00",3191630000,"10,698.75"
1973-12-28,0.00,"10,688.08","10,491.37","59,678,546.00",3857890000,"10,653.56"
1973-12-25,0.00,"10,712.37","10,571.6","64,184,934.00",3685560000,"10,674.98"
1973-12-22,0.0,"10,738.48","10,583.1","59,894,800.00",4057850000,"10,680.43"
1973-12-19,0.00,"10,714.19","10,564.18","71,413,001.00",4071820000,"10,636.38"
1973-12-16,0.00,"10,715.21","10,468.82","74,422,572.00",4144180000,"10,674.38"
1973-12-13,0.00,"10,528.84","10,327.37","69,097,663.00",4006450000,"10,465.94"
1973-12-10,0.00,"10,609.74","10,383.45","64,757,794.00",4612420000,"10,467.16"
1973-12-07,0.00,"10,586.36","10,445.17","64,877,586.00",4002390000,"10,497.88"
1973-12-04,0.00,"10,632.52","10,460.65","66,043,684.00",4725690000,"10,537.69"
1973-11-30,0.00,"10,545.94","10,391.02","54,093,004.00",4009650000,"10,525.43"
